Descripción ,Nombre                                         ,Importe (euros)
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP MEDITERRANEO,"141,12"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP PEDRO DE ESTOPIÑAN,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP PEDRO DE ESTOPIÑAN,"289,8"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP PINTOR EDUARDO MORILLAS,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP PINTOR EDUARDO MORILLAS,"201,6"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP RAMON MARIA DEL VALLE INCLAN,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP RAMON MARIA DEL VALLE INCLAN,"136,08"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP REAL,"332,64"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP REINA SOFIA,75
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP REINA SOFIA,"75,6"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP REY JUAN CARLOS I,125
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP REY JUAN CARLOS I,"75,6"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP REYES CATOLICOS,"237,5"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP REYES CATOLICOS,"241,92"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP SANTIAGO RAMON Y CAJAL,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP SANTIAGO RAMON Y CAJAL,"90,72"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP VELAZQUEZ,25
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP VICENTE ALEIXANDRE,75
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP VICENTE ALEIXANDRE,"75,6"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CENTRO NUESTRA SEÑORA DEL BUEN CONSEJO,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CENTRO NUESTRA SEÑORA DEL BUEN CONSEJO,"55,44"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",COLEGIO BEATRIZ DE SILVA,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,COLEGIO BEATRIZ DE SILVA,"110,88"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",COLEGIO SEVERO OCHOA,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,COLEGIO SEVERO OCHOA,"75,6"
PRECIOS PUBLICOS DE MATRICULA DEL MASTER UNIVERSITARIO EN ABO,FUNDACION DE ESTUDIOS Y PRACTICAS JURIDICAS DE GRANADA            ,"54823,93"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,I.E.S. ENRIQUE NIETO,"25,2"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,I.E.S. MIGUEL FERNANDEZ,"12,6"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",LA INMACULADA,150
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,LA INMACULADA,"176,4"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",SAN DANIEL,100
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,SAN DANIEL,"176,4"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",SANTA MARIA MICAELA,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,SANTA MARIA MICAELA,126
